stratum,index,case_id,candidate_status,delivered_verified_diagnostic,policy_wall_s,episode_wall_s,action,mean_shortcut,pairwise_admission,predictive_status,barrier_status,failure_reason
interior_pair,0,14dfb10b3ce4840786221101b0f9d5b7972b7fc4b34ab6d7353af6b293256e01,certified_common_prefix,1,0.0667152920505032,0.17655874998308718,0;0,revalidated,not_applicable,uncertified_information_or_terminal_bound,uncertified_information,
interior_pair,1,80a9461aaacd3a9b95ede4c3eef6fabd67dc9595462fc2d736d7477cbf1b664c,certified_common_prefix,1,0.067083542002365,0.1779704160289839,0;0,revalidated,not_applicable,uncertified_information_or_terminal_bound,uncertified_information,
interior_pair,2,9a7c5b89458d23466b50d5409eb7a01065dd530330ccbdc605d946b3362615c6,certified_common_prefix,1,0.06494533398654312,0.176867000060156,0;0,revalidated,not_applicable,uncertified_information_or_terminal_bound,uncertified_information,
interior_pair,3,be383eada1320345c63e6d4ecdb299f8739081ca65e4fda88d46342124f8feca,certified_common_prefix,1,0.06553579191677272,0.17671954189427197,0;0,revalidated,not_applicable,uncertified_information_or_terminal_bound,uncertified_information,
interior_pair,4,13e9b24a22a101306a369998578154fff4656d89f22b70d349cb351cd7e6169e,certified_common_prefix,1,0.06397629191633314,0.1659363340586424,0;0,revalidated,not_applicable,uncertified_information_or_terminal_bound,uncertified_information,
interior_pair,5,70c5cdad6f38e3b9a5905a210643253beee40005a0064781dbfab04545cb8771,certified_common_prefix,1,0.06222345901187509,0.16365999996196479,0;0,revalidated,not_applicable,uncertified_information_or_terminal_bound,uncertified_information,
interior_pair,6,7164af6e62e08f2237d04bca8a62f30d7dc2ee3fd3673d34b93f2a92f213106b,certified_common_prefix,1,0.06116308306809515,0.16301058395765722,0;0,revalidated,not_applicable,uncertified_information_or_terminal_bound,uncertified_information,
interior_pair,7,606c89db508499b1d6277c072938771ae3f56bad42ad2662a2f6ae7d9811f180,certified_common_prefix,1,0.06231441698037088,0.16288658301346004,0;0,revalidated,not_applicable,uncertified_information_or_terminal_bound,uncertified_information,
interior_pair,8,6a268e7a263fe291a7d517e5a1f72de99393884b7f3691c2ff309c51abdb5d0a,certified_common_prefix,1,0.0680770839098841,0.17257387493737042,0;0,revalidated,not_applicable,uncertified_information_or_terminal_bound,uncertified_information,
interior_pair,9,e605aeab17e0fdf8c801cb92c26fc4c2872dbe9c039cfb008eb8b6e573ddbd19,certified_common_prefix,1,0.06753258290700614,0.17280183301772922,0;0,revalidated,not_applicable,uncertified_information_or_terminal_bound,uncertified_information,
interior_pair,10,2940f14b7e07569e6d9e326cb79c764811d1428037707d5d8708b5acc106ae7b,certified_common_prefix,1,0.06627674994524568,0.17146504193078727,0;0,revalidated,not_applicable,uncertified_information_or_terminal_bound,uncertified_information,
interior_pair,11,84ace59b6a913baff76b99d6ce0bf34cb5d96404c396cbc891fb4046d491ce91,certified_common_prefix,1,0.06491620803717524,0.17120083305053413,0;0,revalidated,not_applicable,uncertified_information_or_terminal_bound,uncertified_information,
interior_pair,12,a1212cfd72c253ffe23da9b6a8c712534a83f8b60ce9ec80e35e4aae0996e56e,certified_common_prefix,1,0.06506320904009044,0.16358291695360094,0;0,revalidated,not_applicable,uncertified_information_or_terminal_bound,uncertified_information,
interior_pair,13,5c9b9490fb1365e8c31d355a32d7858f8db5db91482064f3ed7c0803badb4062,certified_common_prefix,1,0.06386854196898639,0.16343116702046245,0;0,revalidated,not_applicable,uncertified_information_or_terminal_bound,uncertified_information,
interior_pair,14,c8b11c961ff883c2c5bd851e867b23d7115fa3ef40088b8e4faaefe2c61a183a,certified_common_prefix,1,0.06473458302207291,0.1639052090467885,0;0,revalidated,not_applicable,uncertified_information_or_terminal_bound,uncertified_information,
